perturbation,value,PSNR_C_dB
SLM 量化精度 (bit),6,13.142
SLM 量化精度 (bit),7,13.141
SLM 量化精度 (bit),8,13.141
SLM 量化精度 (bit),9,13.141
SLM 量化精度 (bit),10,13.141
Lowpass Sigma,0.1,16.244
Lowpass Sigma,0.15,13.141
Lowpass Sigma,0.2,10.356
Lowpass Sigma,0.25,8.079
相机高斯噪声 std,0.0,13.141
相机高斯噪声 std,0.01,13.133
相机高斯噪声 std,0.05,12.937
相机高斯噪声 std,0.1,12.378
RPP 像素错误率,0.0,13.141
RPP 像素错误率,0.01,13.157
RPP 像素错误率,0.05,13.219
RPP 像素错误率,0.1,13.293
波长漂移 (nm),527,20.058
波长漂移 (nm),530,20.058
波长漂移 (nm),532,20.058
波长漂移 (nm),534,20.058
波长漂移 (nm),537,20.058
Pinhole 中心遮挡,0.0,13.141
Pinhole 中心遮挡,0.05,14.591
Pinhole 中心遮挡,0.1,14.960
Pinhole 中心遮挡,0.15,15.126
SLM 像素尺寸 (μm),7.9,11.280
SLM 像素尺寸 (μm),7.95,11.280
SLM 像素尺寸 (μm),8.0,11.280
SLM 像素尺寸 (μm),8.05,11.280
SLM 像素尺寸 (μm),8.1,11.280
